STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/12/11,,,74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/13/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/14/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/15/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/16/11,,,74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/17/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/18/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/19/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/20/11,,,78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/21/11,0.08,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/22/11,0,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/23/11,,,74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/24/11,,,73,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/10/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/11/11,0.02,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/12/11,0,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/13/11,,,74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/14/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/15/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/16/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/17/11,0.24,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/18/11,0,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/19/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/20/11,0.16,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/22/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/23/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/24/11,0.12,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/25/11,0.08,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/26/11,0.02,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/27/11,0.04,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/28/11,0,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/29/11,0.01,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/30/11,0,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/1/11,0.75,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/2/11,0.03,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/3/11,0,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/4/11,0.16,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/5/11,0,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/6/11,0.03,",,S",72,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/7/11,0,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/8/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/9/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/10/11,0,",,S",72,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/11/11,,,74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/12/11,0,",,S",72,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/13/11,0.02,",,S",72,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/17/11,,,74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/18/11,,,73,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/21/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/22/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/23/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/25/11,0.75,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/26/11,0.39,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/27/11,0,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/29/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/30/11,0,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/31/11,,,73,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/1/11,0.75,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/2/11,0,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/3/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/4/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/9/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/10/11,,,74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/11/11,,,72,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/12/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/16/11,,,72,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/19/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/20/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/22/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/27/11,,,79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/28/11,,,78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/29/11,,,80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,11/30/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/1/11,0.02,",,S",73,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/2/11,0.04,",,S",71,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/3/11,0,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/4/11,,,78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/5/11,,,78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/6/11,0,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/7/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/8/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/9/11,0.12,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/10/11,0,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/11/11,,,80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/12/11,0.02,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/13/11,0,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/14/11,0.01,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/15/11,0,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/17/11,,,81,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/18/11,0.02,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/19/11,0,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/20/11,0,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,12/21/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/4/12,0.39,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/5/12,2.01,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/6/12,0.31,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/7/12,1.61,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/8/12,1.54,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/10/12,0.2,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/11/12,0.83,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/12/12,1.18,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/13/12,0.83,",,S",73,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/14/12,0.02,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/15/12,0.47,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/16/12,4.02,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/17/12,2.09,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/18/12,0.12,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/19/12,0.2,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/20/12,1.3,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/21/12,1.22,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/22/12,0,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/23/12,0.59,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/24/12,0.43,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/25/12,0.04,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/26/12,0.39,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/29/12,0.2,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/30/12,1.3,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,1/31/12,3.19,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/1/12,0.28,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/2/12,0.35,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/3/12,0.79,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/4/12,1.3,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/5/12,0.67,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/6/12,0.28,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/7/12,0.31,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/8/12,0.71,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/9/12,4.13,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/10/12,0.08,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/11/12,0.43,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/12/12,0.02,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/13/12,1.18,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/14/12,0.59,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/15/12,1.77,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/16/12,0.98,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/17/12,0.98,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/18/12,0.35,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/19/12,0.35,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/20/12,4.41,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/21/12,1.81,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/22/12,2.36,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/23/12,0.75,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/24/12,0,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/25/12,0.98,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/26/12,0.51,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/27/12,0,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/28/12,1.18,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,2/29/12,0.24,",,S",81,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/1/12,0.28,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/2/12,3.19,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/3/12,0.28,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/4/12,0.55,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/6/12,1.5,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/7/12,0.59,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/8/12,0.71,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/9/12,0.12,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/10/12,0.24,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/11/12,0,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/12/12,0.75,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/13/12,6.1,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/14/12,0,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/16/12,1.42,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/17/12,3.78,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/18/12,3.46,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/19/12,1.02,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/20/12,2.44,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/21/12,0.79,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/22/12,1.3,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/23/12,0.2,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/24/12,0.75,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/25/12,0.47,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/26/12,0,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/27/12,0.04,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/28/12,2.83,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/29/12,0,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/30/12,,,79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,3/31/12,,,80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/1/12,2.64,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/2/12,1.54,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/3/12,0.02,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/4/12,0.67,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/5/12,0.12,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/6/12,2.87,",,S",81,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/8/12,,,80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/10/12,0.03,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/11/12,0,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/12/12,0.01,",,S",81,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/13/12,1.89,",,S",82,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/15/12,0.75,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/16/12,0.08,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/17/12,0.08,",,S",81,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/19/12,0.12,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/20/12,0.16,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/21/12,1.34,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/22/12,1.26,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/24/12,0.51,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/25/12,0.79,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/26/12,2.95,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/27/12,0.12,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/28/12,0,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/29/12,1.77,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,4/30/12,0,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/1/12,2.64,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/2/12,0.55,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/3/12,0.12,",,S",82,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/4/12,1.61,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/5/12,0.71,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/6/12,1.54,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/7/12,0.04,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/8/12,0.28,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/9/12,0.2,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/10/12,0.08,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/11/12,0.31,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/12/12,2.95,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/13/12,4.76,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/14/12,0,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/16/12,0.16,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/17/12,3.15,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/18/12,1.34,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/19/12,0.01,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/20/12,0.47,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/22/12,0.04,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/23/12,0.04,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/24/12,0,",,S",80,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/25/12,,,79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/26/12,0.12,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/27/12,1.22,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/29/12,4.09,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/30/12,0.71,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,5/31/12,0.2,",,S",79,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,6/1/12,4.69,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,6/2/12,0,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,6/3/12,1.77,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,6/4/12,0,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,6/5/12,0.01,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,6/6/12,0,",,S",78,"H,,S"
