,year,month,day,level_3,Title,Date,Price
13,2007,1,21,Title,weather Fight for acreage sends soyabeans higher High prices help Ivory Coast revitalise industry India takes advantage of Brazil's coffee woes Nestle coffee pledge Global trade convinced price of coffee will remain firm in 2007 New firms vie for Brazil's coffee sales ,1/21/07,1.1349
14,2007,1,23,Title,Officials from Ethiopia and Starbucks meet in Geneva Uganda sees coffee export boom in last month of 2006 Louis Dreyfus approves major investments in Brazil's agri sector ,1/23/07,1.176
15,2007,1,24,Title,"MILK PRODUCT PRICES IN EUROPE AND THE US Monsanto concedes sales of BST could be diminished Milk product prices, January 24 ",1/24/07,1.1051
16,2007,1,28,Title,Louis Dreyfus in Brazil push Selling by elevator firms eases canola futures Cuban coffee rebound Ivory Coast farmers enjoy high prices for beans Caterpillar invasion ravages Cameroon's cocoa Vietnamese farmers hoard coffee Brazil hangs on to coffee stocks Costa Ricans lament severe fungus outbreak ,1/28/07,1.1051
17,2007,1,29,Title,Indian coffee exports set to rise by over 15% from last year ,1/29/07,1.0984
18,2007,2,1,Title,trading briefs Taking advantage of amazing demand weather Speculative buying takes coffee off its lows India projects rising coffee exports for 2007 Vietnam's exporters make good start to year Brazil gears up for smaller coffee exports ,2/1/07,1.1116
19,2007,2,2,Title,Guatemala reports slump in coffee exports European stockpiles of robusta coffee fall 7% in two weeks ,2/2/07,1.1178
20,2007,2,5,Title,Nestle pledges to help improve Vietnam's coffee sector Indian coffee exports may fall 13% from last year ,2/5/07,1.1169
21,2007,2,6,Title,Cameroon uses insecticides to fight caterpillar invasion Climate change may cause big fall in Brazil's crop output ,2/6/07,1.1006
22,2007,2,7,Title,"Milk product prices, February 7 Green Mountain Coffee Roasters to help promote Ethiopian produce ",2/7/07,1.0953
23,2007,2,9,Title,Kenya Airways begins using Utz Kapeh-cerified coffee Indonesian coffee exporters struggle to acquire good beans ,2/9/07,1.099
24,2007,2,11,Title,Dryness puts cocoa near seven-month highs Vietnam's ag exports Downpours in Brazil Vicofa will study world's top coffee exchanges MCX revives efforts to list Indian tea futures Green Mountain move Central America sure to retain coffee premiums Ivorian cocoa areas need more rain Jamaica hopes it can sustain industry's recovery Vietnam pushes out coffee exports at great speed ,2/11/07,1.099
25,2007,2,12,Title,Brazilians to be urged to drink more milk Alpina to distribute Meggle in Bulgaria ,2/12/07,1.0895
26,2007,2,13,Title,CBK gives more upbeat view of Kenyan coffee output ,2/13/07,1.0862
27,2007,2,14,Title,"Milk escapes health advertising ruling Milk product prices, February 14 Milk escapes French health advertising ruling ",2/14/07,1.0812
28,2007,2,15,Title,CBK sees climb in production Uganda lifts exports in January Record 2008 crop will cap prices weather Fine sales put coffee at lowest level in months Electronic softs trading rockets in New York Olam thrives in second quarter German dairy names Bulgarian agent Coffee export slump Colombian exports Starbucks sees future in East Africa Speaker forecasts steady increase in coffee prices Nybot announces pre-open schedule for extended electronic hours Starbucks works on relationship with East African farmers ,2/15/07,1.0877
29,2007,2,16,Title,Starbucks meets with press to dispute Ethiopian stories Speaker claims rise in global coffee price will be steady ,2/16/07,1.0966
30,2007,2,19,Title,"Starbucks 'will not oppose Ethiopia's efforts to obtain trademarks' Brazil 'not a threat' to NZ dairy sector, says Rabobank Risk management offers African coffee producers bright future, analysts say African gourmet coffees have huge potential, speakers say ",2/19/07,1.0966
31,2007,2,20,Title,"Sugar, cocoa and coffee decline in London Producing coffee sustainably can increase productivity, expert says ",2/20/07,1.0838
32,2007,2,21,Title,"National promotion campaign to encourage milk consumption Milk product prices, February 21 India coffee festival seeks to boost domestic consumption ",2/21/07,1.0814
33,2007,2,22,Title,Coffee sales help fuel 14% rise in Nestle profits High world coffee prices spur greater Ivory Coast production ,2/22/07,1.0866
34,2007,2,23,Title,Record net profits for Nestlé in 2006 ,2/23/07,1.1188
35,2007,2,25,Title,African coffee farmers must learn to hedge Canola price drop defies new highs in soya Mixed reaction to soft commodity prices Starbucks/Ethiopia near resolution Coffee quality key to Africa's future Ivorian farmers return to coffee plantations Meagre rains may limit crop in Cameroon Drought reduces Kenyan crop ,2/25/07,1.1188
36,2007,2,26,Title,ICO predicts higher coffee prices as Brazil production falls ,2/26/07,1.1322
37,2007,2,28,Title,Health focus reaps rewards for Nestlé Brazil `not a threat' to dairy sector - Rabobank ,2/28/07,1.1145
38,2007,3,2,Title,"Italian coffee maker sees bigger Brazil crop, global prices falling ",3/2/07,1.0926
39,2007,3,4,Title,US speciality coffee People and places Industry buying pushes coffee prices higher Grinding out a more profitable future Ncdex makes new coffee bid Weather Vietnam coffee pledge ICO chief warns not to raise output too much Vietnamese coffee exports soar in early 2007 ,3/4/07,1.0926
40,2007,3,7,Title,"Milk product prices, March 7 Olam sees Australian takeover as springboard into wheat/nuts ",3/7/07,1.054
41,2007,3,8,Title,Flavoured waters likely to spearhead global CSD sales India promotes neem pesticides Brazil to open biopesticide facility: Brazil to recoup 2006 losses ,3/8/07,1.0487
42,2007,3,9,Title,Nespresso sales fuel Nestle expansion ,3/9/07,1.0508
43,2007,3,11,Title,Panama coffee blitz Mexican export demand helps canola prices People and places Brazilian coffee climb US consumers move back to daily cup of coffee Nybot plans further expansion in ag offerings Colombia tries to lift output in sustainable way ,3/11/07,1.0508
44,2007,3,12,Title,Vinamilk seeks new share issue for expansion Turkey adopts EU criteria for Turkish coffee ,3/12/07,1.0487
45,2007,3,13,Title,Doncafe set to double production capacity ,3/13/07,1.0412
46,2007,3,14,Title,"Milk product prices, March 14 Starbucks plans to quadruple coffee shops, with non-US focus Nybot announces new accountability rules in key softs contracts ",3/14/07,1.0412
47,2007,3,16,Title,Ethiopian coffee farmers still not happy with Starbucks ,3/16/07,1.0285
48,2007,3,18,Title,Santos sugar surge Kenyan coffee climb Coffee market remains under intense pressure Weather Trading briefs ICO more upbeat for global output Uganda sustains efforts to sell coffee overseas Trade disputes huge Brazilian crop ,3/18/07,1.0285
49,2007,3,19,Title,India opts not to protect palm oil/sugar duties in WTO talks ,3/19/07,1.0288
50,2007,3,20,Title,Nestle defends coffee buying practices ,3/20/07,1.0311
51,2007,3,21,Title,"Milk product prices, March 21 ",3/21/07,1.0255
52,2007,3,22,Title,Oxfam takes on Starbucks over Ethiopia again Compensation to Jamaican coffee farmers delayed again ,3/22/07,1.0487
53,2007,3,23,Title,Brazilian broker closes pepper/ginger deals at Cairo show ,3/23/07,1.0443
54,2007,3,25,Title,Good Brazilian crop Oxfam/Starbucks spat Coffee exports climb Strauss sales increase Ivorian concerns push cocoa to new heights Ivorian coffee arrivals Showers alleviate Vietnam's drought concerns Tax claim could shut down Indian Coffee Board Cardamom costly as buyers struggle between crops ICCO explains lower mid-crop figure ,3/25/07,1.0443
55,2007,3,26,Title,Vietnam's coffee exports increase in March ,3/26/07,1.0647
56,2007,3,27,Title,Wilting disease hits Tanzania coffee trees Heads of Brazil/Italy meet to discuss biofuel projects ,3/27/07,1.0714
57,2007,3,28,Title,"Milk product prices, March 28 Nestlé and Coke remodel BPW agreement Rabobank to extend research operations in Malaysia ",3/28/07,1.0638
58,2007,3,29,Title,"Quality of Ivorian cocoa beans has improved, officials say Nestle and Coca-Cola agree over tea and coffee venture ",3/29/07,1.059
59,2007,3,30,Title,Indian coffee exports slide by 45% Vietnam coffee industry aims to improve export efficiency ,3/30/07,1.0452
60,2007,4,1,Title,Poor Brazilian prospects keep coffee strong weather Trading briefs People and places Starbucks hits back after new ad campaign Dry weather may slash Vietnam's coming crop Kenya's direct export system fails to take off Ivory Coast improves bean quality ,4/1/07,1.0452
61,2007,4,2,Title,"Tata Coffee opens new freeze-dried coffee plant in India Quality of Vietnam coffee still low, officials admit ",4/2/07,1.0275
62,2007,4,3,Title,"Indian coffee export permits rise by 26% this year Traders warn civet deaths could cause a coffee catastrophe Brazilian port increases exports of sugar, coffee and soya ",4/3/07,1.0282
63,2007,4,4,Title,"Cappuccino-flavoured cheese not everybody's cup of tea Schwälbchen cuts costs, increases profit Milk product prices, April 4 Honduran coffee exports increase in March ",4/4/07,1.0368
64,2007,4,5,Title,"Ivorian robusta crop may beat initial forecasts Uganda grows arabica coffee trees resistant to wilt disease Brazil needs rain before coffee harvest, experts say San Pedro port sees marginal rise in cocoa arrivals ",4/5/07,1.0412
65,2007,4,8,Title,Tata Coffee expansion Nybot sees rise in its March trading volume People and places Fall in maize price leads Cbot soyabeans lower Honduras ups exports Ivorian coffee arrivals Coffee Board of India signs more export permits Vietnam focuses on quality issue Killing of civets a catastrophe ,4/8/07,1.0412
66,2007,4,10,Title,Robusta prices set to increase over Vietnam harvest Brazil's coffee exports in March rise by 13% ,4/10/07,1.0299
67,2007,4,11,Title,"Milk product prices, April 11 Indian coffee prices set to drop say traders ",4/11/07,1.034
68,2007,4,12,Title,"Kenya will raise macadamia yields via better husbandry Nestle makes $5.5bn purchase to expand nutrition unit Vietnam coffee prices to remain high as reserves dry up Global warming threatens world coffee production, analysts say ",4/12/07,1.0292
69,2007,4,13,Title,Ivorian coffee arrivals up in opening months of 2007 UK soft drinks market turns to 'healthy' products Indonesian coffee exports to drop 65% in 2007 ,4/13/07,1.0536
70,2007,4,15,Title,Soyabean price fall undermines rival markets Global warming fear weather Trading briefs Coffee exports climb Rain heralds big coffee crop in El Salvador Vietnam awaits higher prices on London market Rain needed for Brazil's robusta ,4/15/07,1.0536
71,2007,4,16,Title,"Brazilian coffee crop to fall 22% this season, exporter predicts Colombia's coffee exports and production on the rise Panama growers seek to increase speciality coffee exports ",4/16/07,1.061
72,2007,4,17,Title,"Ugandan coffee exports on the rise, say UCDA ",4/17/07,1.0257
73,2007,4,18,Title,"Milk product prices, April 18 Nicaraguan coffee exports set to slump, officials say ",4/18/07,1.0333
74,2007,4,19,Title,"UK soft drinks market turns healthier Jamaica coffee sector to be privatised as production increases Bearish coffee prices no cause for concern, say ICO ",4/19/07,1.0324
75,2007,4,20,Title,"Rwandan coffee production lower in 2007, forecasts suggest ",4/20/07,1.0293
76,2007,4,22,Title,Coffee exports climb Sugar prices cave under weight of high output Termites back in PNG Coffee privatisation ICO at ease with dipping global coffee pricing Rainfall allows SA maize costs to fall back Indonesia warns that coffee exports may crash Tea Board of Kenya steps up efforts to control global market New prognosis for Brazil's smaller coffee crop ,4/22/07,1.0293
77,2007,4,23,Title,Nestlé announces sales growth of over 7% Vietnamese coffee exports to US rise sharply Brazil's official coffee forecast confirms sharp drop in production India details likely duty cuts on spices/softs under Asean deal ,4/23/07,1.0182
78,2007,4,24,Title,Nestlé sells out to Vietnamese newcomer Zambia's coffee output declines due to drought and low prices ,4/24/07,1.0126
79,2007,4,25,Title,"Milk product prices, April 25 Vietnam coffee exports continue to soar says government California coffee company increases income after streamlining ",4/25/07,0.9945
80,2007,4,26,Title,New cotton pest in Brazil: Tanzania aims to replace aging coffee trees in Kilimanjaro area ,4/26/07,0.9863
81,2007,4,29,Title,Eco-friendly coffee WCE canola prices helped by gains in Europe Weather people and places Rwanda on course for lower coffee production ElSalvador fears coffee industry is doomed Vietnam ships bigger amount of coffee in 2006/07 Ivory Coast sees 30% fall in crop Jamaica puts its faith in process of privatisation ,4/29/07,0.9863
82,2007,5,1,Title,Brazil records higher monthly green coffee exports ,5/1/07,0.9868
83,2007,5,2,Title,"World dairy product prices, May 2 ",5/2/07,0.9868
84,2007,5,3,Title,Starbucks and Ethiopia make another agreement on coffee CFC estimates 70% of world population relies on commodities ,5/3/07,0.9833
85,2007,5,6,Title,Better West African outlook hits cocoa price Starbucks and Ethiopia settle trademark dispute Dry weather will benefit Brazil's coffee harvest ,5/6/07,0.9833
86,2007,5,8,Title,Starbucks aims to improve Ugandan coffee sector ,5/8/07,0.9926
87,2007,5,9,Title,"Milk product prices, May 9 Brazilian coffee exports on the rise according to industry council ",5/9/07,0.9921
88,2007,5,10,Title,Nestle profits rise Colombia doubles organic area: ,5/10/07,1.0033
89,2007,5,13,Title,Vietnam runs dry of exportable coffee stocks Jamaica warns of new coffee berry borer crisis Salvadorian coffee fall Weather Battle between soyabeans and maize heats up People and places ,5/13/07,1.0033
90,2007,5,14,Title,Colombian coffee production declines but exports rise ,5/14/07,0.9984
91,2007,5,15,Title,Olam overcomes volatility through higher sugar deliveries ,5/15/07,1.0051
92,2007,5,16,Title,"Milk product prices, May 16 Global coffee production will fall next season, says ICO president ",5/16/07,1.0068
93,2007,5,18,Title,Starbucks shares hit 18-month low Brazil's coffee crop forecast revised upwards by analysts ,5/18/07,1.0227
94,2007,6,10,Title,Oilseed complex rises because of high demand Interest in sugar futures lifts Nybot trading Weather Brazil decides to subsidise smaller coffee crop Mexico/Guatemala unscathed after Barbara Indian coffee crop now looks set to be larger Vietnam's authorities demand pre-export checks ,6/10/07,1.0227
95,2007,6,11,Title,Vietnam coffee officials want unified VAT on all coffee products Tata Coffee plans export hub in Africa Tata Coffee sets up African export hub to sell to EU and China ,6/11/07,1.0735
96,2007,6,12,Title,Overseas buyers blacklist Indonesian coffee exports from Aceh ,6/12/07,1.0791
97,2007,6,13,Title,Weihenstephan recruits new MD ,6/13/07,1.065
98,2007,6,14,Title,Vietnam seeks to boost tea exports via Rotterdam ,6/14/07,1.0643
99,2007,6,15,Title,Turkish coffee - with Turkish cola ,6/15/07,1.0743
100,2007,6,17,Title,Poor Asian crops push robusta to nine-year high Mexican coffee sales Coffee crop revision Oversipply takes sugar down another notch Tata sets up in Africa Vicofa calls for VAT reform to encourage exports Ivorian corruption could return Buyers blacklist adulterating exporters in Aceh ,6/17/07,1.0743
101,2007,6,18,Title,Ugandan coffee exports for May up 50% from last year ,6/18/07,1.0752
102,2007,6,19,Title,Jamaican coffee farms receive compensation for storm damage ,6/19/07,1.08
103,2007,6,20,Title,"Milk product prices, June 20 Indian coffee exports expected to decline in present season ",6/20/07,1.0703
104,2007,6,21,Title,Turkish coffee cola drink Starbucks agrees to recognise Ethiopia's coffees ,6/21/07,1.0837
105,2007,6,22,Title,Dry weather affects quality and yields of Brazil's coffee beans ,6/22/07,1.09
106,2007,6,24,Title,Coffee exports rise Weather Aggressive selling lowers Cbot maize prices Jamaica coffee board Anacafe concerned over Taiwan ties Indian coffee shipments set to fall by up to 15% Asian coffee supply rise may not temper prices ,6/24/07,1.09
107,2007,6,25,Title,Kenya will cancel coffee licenses over unscrupulous practices ,6/25/07,1.0781
108,2007,6,26,Title,Indian traders want coffee output estimate reduced ,6/26/07,1.06
109,2007,6,27,Title,"Milk product prices, June 27 Indonesian residents deforest national park for crop plantations Colombian coffee farmers want emergency plan to save sector ",6/27/07,1.0595
110,2007,6,28,Title,McDonald's goes organic Brazil subsidises 4m bags of coffee at auction due to currency rise ,6/28/07,1.0582
111,2007,6,29,Title,Indonesia launches cocoa board to improve farmers' conditions Indian coffee farmers driven to suicide by crop failures and low prices McDonald's organic milk deal praised ,6/29/07,1.0612
112,2007,7,1,Title,Coffee sales boost Ignored warnings Auction subsidy People and places Plummeting export demand weakens canola German black tea Improved Brazilian weather outlook depresses robusta Colombian farmers ask government for help Premature ripening lowers Brazilian quality ,7/1/07,1.0612
113,2007,7,2,Title,Vietnam coffee exports jump 60% in first half of 2007 Papua New Guinea aiming to boost cocoa production ,7/2/07,1.0657
114,2007,7,3,Title,Nepal's coffee output up by 40% this season ,7/3/07,1.0602
115,2007,7,4,Title,"McDonald's organic milk deal praised Milk product prices, July 4 ",7/4/07,1.0602
116,2007,7,5,Title,BASF launches AgCelence brand in Brazil: Rwandan coffee production set to drop by a third next year FO Licht forecasts decline in global coffee output next season Cameroon revises cocoa output upwards for 2006/07 season ,7/5/07,1.0543
117,2007,7,6,Title,Indian coffee exports decline due to strength of local currency Vietnam to host 'coffee cultural week' to improve international image Brazilian income from coffee exports up nearly a third in 2006/07 ,7/6/07,1.0512
118,2007,7,8,Title,Burundi coffee praise Nybot trading volumes smash previous record Surprise USDA figure fuels hike in soya price Weather Cameroon reviews size of its cocoa crop FO Licht adds to forecasts for lower coffee crop Vietnam wants to keep up coffee export drive Farmers' neglect of coffee crop hurts Rwanda ,7/8/07,1.0512
119,2007,7,9,Title,"Kenyan coffee board agree to pay back debts to farmers Tanzania to boost coffee production by the end of the decade China coffee consumption will soar, Italian roaster says ",7/9/07,1.0403
120,2007,7,10,Title,Kenya to export majority of coffee output to China under trade agreement ,7/10/07,1.037
121,2007,7,11,Title,"Milk product prices, July 11 Tanzanian cashews now duty-free into Switzerland Uganda temporarily closes coffee processing plants ",7/11/07,1.0451
122,2007,7,12,Title,Fairtrade orange juice appears in Lidl El Salvador coffee exports down 15% in June McDonald's to open budget coffee shops in Japan Ugandan coffee output expected to rise 14% this year ,7/12/07,1.0546
123,2007,7,15,Title,Salvadoran coffee fall UCDA closes plants Chinese coffee high McDonald's coffee plan Strong rupee harms Indian coffee exports Africa must take advantage of interest in its coffee High prices encourage Tanzania to raise output Kenya intends to make China its top market Weather concerns fuel further climb in soya Trading briefs ,7/15/07,1.0546
124,2007,7,16,Title,Bank distributes large sums to Zimbabwean coffee growers Tata Coffee struggles with appreciation of Indian rupee Commodity trading on Liffe hits new heights in June Tata to open 100 coffee shops in India in next five years ,7/16/07,1.0417
125,2007,7,17,Title,India plans multi-million effort to boost coffee consumption Stable prices help Uganda increase coffee exports in June ,7/17/07,1.0512
126,2007,7,18,Title,"Milk product prices, July 18 Vietnam coffee revenues surge due to high US demand ",7/18/07,1.0618
127,2007,7,20,Title,Starbucks plans new format and locations for UK coffee shops ,7/20/07,1.0787
128,2007,7,22,Title,Report helps sugar price to three-month high US coffee deliveries Weather People and places Vietnam coffee surge Sales of ethical coffee rocket India finds cash for marketing Uganda enters period of strong coffee exports ,7/22/07,1.0787
129,2007,7,24,Title,Starbucks increases prices to combat rising dairy costs Starbucks to raise prices at US stores ,7/24/07,1.0678
130,2007,7,25,Title,"Starbucks increases prices to combat rising dairy costs Milk product prices, July 25 Vietnam expects higher coffee sales this year ",7/25/07,1.0815
131,2007,7,26,Title,"Swiss tariffs scrapped Vietnam's July coffee exports fall in volume, surge in value ",7/26/07,1.0903
132,2007,7,27,Title,Indonesia drops relief aid to thousands stranded on Sulawesi island ,7/27/07,1.0734
133,2007,7,29,Title,Ivorian rubber switch Asian coffee decline Brazilian coffee sales Vietnam coffee dip Getting a coffee buzz Starbucks price hike Marketing agents dog Kenyan coffee sales Better US weather causes plunge in soya price Vietnam eyes record coffee sales High cost of robusta damages India's exports ,7/29/07,1.0734
134,2007,8,1,Title,"Milk product prices, August 1 Ugandan coffee export volumes continue to rise in June Brazilian coffee consumption leaps in first seven months of year ",8/1/07,1.0829
135,2007,8,2,Title,Sumatran arabica exports to stabilise says coffee industry official ,8/2/07,1.0773
136,2007,8,3,Title,Honduran coffee exports on the rise says national coffee board Indian coffee exports decline due to high prices on global market ,8/3/07,1.0954
137,2007,8,5,Title,Funcafe coffee auction Weather worries push canola price to peak weather Indonesian coffee fall Brazil may end up losing share of coffee sales Sustained peace allows Sumatran exports to rise ,8/5/07,1.0954
138,2007,8,6,Title,Volume of Vietnam's coffee exports up to July more than double Brazil's coffee crop under threat from early flowering due to heavy rains ,8/6/07,1.1138
139,2007,8,7,Title,Brazil green coffee exports rise in July says Cecafe Honduran coffee exports will beat early forecasts says official ,8/7/07,1.1184
140,2007,8,8,Title,"Rising raw milk prices sour Dean's Q2 profits Hansen Natural Corp announces second quarter results Milk product prices, August 8 Rising raw milk prices sour Dean's Q2 profits ICO reports says coffee consumption and exports on the rise Vietnam province's coffee to be branded to increase sales ",8/8/07,1.1155
141,2007,8,9,Title,Energy drinks sales help lift Hansen Indian exports of coffee expected to drop by 10% this year Peru coffee exports to drop sharply as production falls ,8/9/07,1.1197
142,2007,8,10,Title,India's Tata Tea to expand in Russia and US Organic soft drinks firm wins McDonalds contract Starbucks enters into credit agreement ,8/10/07,1.1297
143,2007,8,12,Title,Kenya looks into coffee price-fixing Peru sees coffee slip Sugar interest helps Nybot trading to climb Heavy selling keeps sugar in the doldrums Vietnam coffee storm Firey volcano erupts ICO highlights soaring coffee exports in 2006/07 Brazil's crop likely to be at low end of forecasts Vietnam will begin checking coffee in October ,8/12/07,1.1297
144,2007,8,13,Title,Starbucks to open first stores in Colombia ,8/13/07,1.134
145,2007,8,14,Title,Vietnam coffee plantations escape floods but yields still expected to fall ,8/14/07,1.1523
146,2007,8,16,Title,Energy drinks boost Hansen results Organic drinks deal Ethiopia to produce coffee with naturally low caffeine levels ,8/16/07,1.1413
147,2007,8,17,Title,Vietnam coffee farmers expand beyond 2010 targets say officials Nicaraguan coffee exports rise in July but down for coffee year ,8/17/07,1.0963
148,2007,8,19,Title,Low caffeine bean Nestle unharmed by high commodity costs Vietnam coffee drive Strong buying keeps fire under coffee values weather Indian coffee efforts Mexican coffee rise EU buyers spurn Brazil's costly coffee Depleted soil dents Vietnam's coffee potential UCDA under fire over use of unapproved bean Exporters must face up to the daily grind ,8/19/07,1.0963
149,2007,8,20,Title,Honduran coffee exports higher than expected for 2006/07 season ,8/20/07,1.1095
150,2007,8,21,Title,Brazil exports more cashews to Middle East Hurricane Dean delays coffee harvesting in Jamaica ,8/21/07,1.1113
151,2007,8,22,Title,"Cashew exports rising Milk product prices, August 22 ",8/22/07,1.1148
152,2007,8,23,Title,Hurricane fears put premium in sugar market Coffee growers in Vietnam flout state targets Cameroon targets rise in output Meteorologist claims Brazil is clear of frost Ethiopia prepares to meet growing demand Sugar traders get a fright as first hurricane of Atlantic season strikes Hurricane Dean ravages Jamaica's coffee crop Honduran coffee rise ,8/23/07,1.1213
153,2007,8,24,Title,Vietnam coffee exporters urged to reduce shipments in final quarter of year Colombian coffee exports and output rise in July from year earlier Vietnam doubles coffee exports in first eight months of the year ,8/24/07,1.1305
154,2007,8,28,Title,Ugandan coffee sector threatened by container thefts says official Two US commodity exchanges could list robusta contracts ,8/28/07,1.1168
155,2007,8,29,Title,"Milk product prices, August 29 ",8/29/07,1.1155
156,2007,9,2,Title,Kenyan coffee falls Uncertain US conditions fuel Cbot soyabeans Two new US listings likely in robusta sector Weather Colombian coffee rise Coffee sellers in India hope to earn more abroad Vietnamese official calls on firms to hold back Conab says crop will be higher than thought ,9/2/07,1.1155
157,2007,9,4,Title,Certified coffee sales growing rapidly says World Bank official ,9/4/07,1.1014
158,2007,9,5,Title,"FTC, FDA reject Monsanto milk labelling claim Milk product prices, September 5 Indian province urged to maintain current level of coffee output Ice to offer robusta coffee graders seminar and test ",9/5/07,1.1225
159,2007,9,7,Title,EU coffee consumption will continue to grow says Irish official Starbucks to buy Chinese coffee ,9/7/07,1.1047
160,2007,9,9,Title,Vicofa makes rapid U-turn in coffee policy Indian coffee trouble Tightening supplies help canola to new highs Rains from Felix worry coffee trade Italy increasingly reliant on foreign coffee sales US leads surge in certified coffee consumption Brazil's BM&F heads for record trading year ,9/9/07,1.1047
161,2007,9,10,Title,Starbucks chief predicts gourmet coffee shortage in long term ,9/10/07,1.1125
162,2007,9,11,Title,India coffee output set to drop next year due to heavy rains Rwanda sets itself coffee export earnings target for next year Vietnam considers applying international standards for coffee exports ,9/11/07,1.132
163,2007,9,12,Title,"Milk product prices, September 12 Glisten introduces healthier fruit snacks and chocolate ",9/12/07,1.1327
164,2007,9,13,Title,Robusta prices near nine-year high Ivorian coffee rush Lack of old crop supply sends soyabeans up weather Asian coffee exports Torrential rainfall likely to curb Indian crop Vicofa could switch to international standards Indian bourses press for relaxation of rules Coffee exports from Indonesian island of Sumatra tumble this year New Jersey coffee warehouse hit by flooding ,9/13/07,1.137
165,2007,9,14,Title,US records decline in monthly farm export revenues Philippines coffee export revenues up by a quarter in first half of year ICO revises its global coffee output forecast upwards ,9/14/07,1.137
166,2007,9,17,Title,Coke considering nearly two dozen products for India Indonesia will boost arabica coffee output says official Indian coffee growers to receive compensation for crop damage NMCE launches nearly 50 new commodity opportunities ,9/17/07,1.139
167,2007,9,18,Title,Vietnam aims to significantly increase cocoa industry Robusta coffee price hits ten-year high in London ,9/18/07,1.1933
168,2007,9,19,Title,"Milk product prices, September 19 Vietnam to reduce total coffee acreage in 2010 but increase arabica ",9/19/07,1.2206
169,2007,9,20,Title,New speculative buying raises cocoa levels CHARTS trading briefs ICO raises its view on global coffee production Indonesia puts emphasis on arabica growth Coffee protection Dryness hits Ivorians Vietnam coffee boost Lower coffee planting Jitters over coffee supplies push prices in London to new ground East African rains may help coffee Brazil agrochemical sales to rise 10% Coke test markets dairy drinks in Australia Ugandan coffee exports take a fall in August ,9/20/07,1.2273
170,2007,9,21,Title,Coffee prices will remain high says Finnish roaster Nestle trains Vietnam farmers to improve coffee quality ,9/21/07,1.2379
171,2007,9,26,Title,"Coca-Cola trialling flavoured milk drinks Milk product prices, September 26 Italians aim to standardise method of making perfect coffee ICE Futures US to launch robusta contract on October 5 ",9/26/07,1.2418
172,2007,9,27,Title,Dairy drink trialled Ugandan coffee exports in August up from last year but down from July ,9/27/07,1.2101
173,2007,9,28,Title,Liffe slashes fees on robusta coffee futures to fend of new rival India expects smaller crops in south due to excessive rainfall ,9/28/07,1.2143
174,2007,9,30,Title,Italian coffee standard Vietnam's coffee jump Cocoa export slump Weather concerns prompt rise in soyabeans Weather Producers plan new global body Japanese rejections mar India's early coffee sales Roaster expects coffee prices to remain firm ,9/30/07,1.2143
175,2007,10,1,Title,Indian coffee exports decline in first nine months of the year German flavour and fragrance giant makes French acquisition Merrill Lynch introduces two biofuels indices for investors ,10/1/07,1.2073
176,2007,10,4,Title,"Nicaragua government to aid organics: Milk product prices, October 4 Peruvian coffee exports decline after bumper crop last year ",10/4/07,1.2674
177,2007,10,5,Title,Liffe rings the changes on robusta contract to fend off ICE Black pod effect overstated says Ivory Coast cocoa researcher Coffee traders expect big crop as Vietnam's robusta harvest begins ,10/5/07,1.2603
178,2007,10,7,Title,Charts People and places Aggressive origin selling weakens cocoa values Honduras coffee rise Coffee shipments rise New coffee agreement aims for better clarity Brazilian fears send arabica higher Top origins raise farm payments Indonesia nervously awaits onset of new rains Uganda claims victory against wilting disease Liffe steps up robusta review to fight ICE ,10/7/07,1.2603
